date,N,N.lcl,N.ucl,p,p.lcl,p.ucl,pent,pent.lcl,pent.ucl,Phi,Phi.lcl,Phi.ucl,sundur,temp,wind
2020-05-16,9878.28090230288,7314.77321610557,13340.1857722602,0.0259909,0.0199303,0.0338308,,,,0.9303947,0.8866291,0.9580642,7.578,14.8333333333333,8.61333333333333
2020-05-17,10625.0453063693,8361.54137057605,13501.2891474366,0.0277507,0.0213252,0.0360409,0.0732602,0.0316735,0.1604043,0.9262985,0.8837707,0.9540742,8.111,15.1814814814815,9.54
2020-05-21,9605.74830871983,7446.69043693726,12390.7931116341,0.0375397,0.0292829,0.0480096,0.0910907,0.0603091,0.1353206,0.9076102,0.8709297,0.9346486,9.001,19.8592592592593,9.38
2020-05-22,10495.4130020069,8384.82529767176,13137.2676438808,0.0266811,0.0208238,0.0341284,0.0907686,0.0616274,0.1317548,0.902314,0.867228,0.9288885,0.35,21.5703703703704,11.4266666666667
2020-05-26,8346.47318485324,6463.0937019548,10778.6793504795,0.0198145,0.0151257,0.0259185,0.0709615,0.0512751,0.0974302,0.8783427,0.8487014,0.9028417,3.408,15.3388888888889,4.86
2020-05-27,8563.8577407271,6786.03145074398,10807.4446656699,0.0314914,0.0246964,0.0400792,0.0629658,0.0465684,0.0846246,0.8716061,0.8425834,0.8959388,6.659,19.6925925925926,7.24666666666667
2020-05-30,6419.95995599687,4989.76079182225,8260.09252871446,0.0290966,0.0221965,0.0380582,0.0382733,0.0257802,0.0564695,0.8494704,0.8181416,0.8762187,4.974,15.6203703703704,20.1733333333333
2020-05-31,6059.54731641651,4802.07913217005,7646.29500457602,0.0276609,0.0214997,0.0355235,0.0309509,0.0183956,0.0516249,0.8414237,0.8075193,0.8703151,5.955,15.9185185185185,13.5933333333333
2020-06-02,4659.76993173177,3675.49598563242,5907.62604599483,0.0422005,0.03293,0.0539355,0.01888,0.0077821,0.0450854,0.8242877,0.782302,0.8596289,8.684,21.7925925925926,10.98
2020-06-03,4119.82054537608,3266.06413778947,5196.75077097244,0.0308685,0.0243344,0.0390869,0.0142414,0.0046587,0.04269,0.8151877,0.7677749,0.8547517,3.836,21.3314814814815,9.67333333333333
2020-06-08,1531.16490858084,1099.97867295852,2131.37403015612,0.026826,0.0209686,0.0342624,0.0024557,0.0001661518,0.0351834,0.7642473,0.6783665,0.8328472,5.66,17.5685185185185,7.86
2020-06-09,1201.742206266,844.788515432916,1709.52173702432,0.0196612,0.0152064,0.0253874,0.0016116,7.333878e-05,0.0343082,,,,0,16.8018518518519,10.2333333333333
