date,N,N.lcl,N.ucl,p,p.lcl,p.ucl,pent,pent.lcl,pent.ucl,Phi,Phi.lcl,Phi.ucl,sundur,temp,wind
2020-05-16,7062.28810404113,5032.61020482577,9910.54566806206,0.0287207,0.0211554,0.0388839,,,,0.9384208,0.8884738,0.966834,7.578,14.8333333333333,8.61333333333333
2020-05-17,7907.5493410572,5957.18280063816,10496.4609403216,0.0307514,0.022689,0.041557,0.1120726,0.0444104,0.2552829,0.9341071,0.8853345,0.9630014,8.111,15.1814814814815,9.54
2020-05-21,6919.97510689817,5134.57342759194,9326.19937281692,0.0416841,0.03109,0.0556809,0.0787504,0.0396097,0.1505073,0.9139077,0.8711311,0.9434075,9.001,19.8592592592593,9.38
2020-05-22,7123.56284525773,5517.23541623341,9197.56794517569,0.0270379,0.0202563,0.0360064,0.0699797,0.0332077,0.1415104,0.9080452,0.8670041,0.9373368,0.35,21.5703703703704,11.4266666666667
2020-05-26,5285.45505072547,3931.38886290822,7105.89465133039,0.0211578,0.0155169,0.0287893,0.038723,0.0166047,0.0876775,0.8808752,0.846047,0.9086749,3.408,15.3388888888889,4.86
2020-05-27,5026.09038713328,3856.93597733247,6549.650999679,0.0343429,0.0258313,0.045528,0.0324152,0.0138736,0.0738809,0.8730757,0.83898,0.9008054,6.659,19.6925925925926,7.24666666666667
2020-05-30,3547.09590492533,2646.40500452307,4754.33251419714,0.0305691,0.0221566,0.0420383,0.0176995,0.0062947,0.0487537,0.8470298,0.8099096,0.8779933,4.974,15.6203703703704,20.1733333333333
2020-05-31,3165.83998059538,2410.44114197274,4157.97034335945,0.0297288,0.02218,0.0397424,0.0141251,0.004202,0.04639,0.8374233,0.796928,0.871149,5.955,15.9185185185185,13.5933333333333
2020-06-02,2319.27286548333,1749.91305317082,3073.88222221699,0.046428,0.0345357,0.0621518,0.0086793,0.0014819,0.0491155,0.8167608,0.7655846,0.8588248,8.684,21.7925925925926,10.98
2020-06-03,1970.62414270184,1493.19040434195,2600.71287660784,0.0325072,0.0245942,0.0428541,0.0066827,0.0007902085,0.0541337,0.8056895,0.7473104,0.8532301,3.836,21.3314814814815,9.67333333333333
2020-06-08,686.29221485564,454.909910889057,1035.36325082688,0.0290211,0.0218179,0.0385089,0.0015117,1.331815e-05,0.1468306,0.7428198,0.6337731,0.8281988,5.66,17.5685185185185,7.86
2020-06-09,522.166838676999,334.349878907366,815.487681063203,0.020028,0.0149133,0.026849,0.0010834,4.932099e-06,0.1925762,,,,0,16.8018518518519,10.2333333333333
