date,N,N.lcl,N.ucl,p,p.lcl,p.ucl,pent,pent.lcl,pent.ucl,Phi,Phi.lcl,Phi.ucl,sundur,temp,wind
2020-05-16,296.448780750347,160.514552671312,547.501009384015,0.0562058,0.0361721,0.0863412,,,,1,1,1,7.578,14.8333333333333,8.61333333333333
2020-05-17,421.596839284725,271.580984250199,654.478425231423,0.069584,0.0441656,0.1079787,0.1894588,0.0817002,0.3804606,1,1,1,8.111,15.1814814814815,9.54
2020-05-21,489.174972554494,324.120789726369,738.280793329259,0.0749658,0.0468757,0.1178081,0.102305,0.0619169,0.1644205,1,1,1,9.001,19.8592592592593,9.38
2020-05-22,547.104729927022,366.944690532803,815.718535329948,0.0389052,0.0225636,0.0662795,0.0876985,0.0556924,0.1354598,1,1,1,0.35,21.5703703703704,11.4266666666667
2020-05-26,578.385957217741,391.843375639333,853.734773392203,0.0181902,0.0106235,0.0309775,0.0473559,0.0289481,0.0765464,0.9994106,0.9945221,0.9999369,3.408,15.3388888888889,4.86
2020-05-27,604.860160356797,412.751622227815,886.382497086635,0.0401934,0.0258564,0.0619742,0.0405948,0.0233852,0.069567,0.4125641,0.2816367,0.5571507,6.659,19.6925925925926,7.24666666666667
2020-05-30,59.3659971196894,28.8031676727848,122.358820184385,0.2485359,0.114343,0.4586582,0.0255715,0.0116754,0.055085,0.9926689,0.0517758,0.999997,4.974,15.6203703703704,20.1733333333333
2020-05-31,73.4105418824309,41.5192368524955,129.797849575557,0.1049528,0.0615694,0.1732614,0.0219206,0.0091707,0.0514756,0.9999999,0.9954035,1,5.955,15.9185185185185,13.5933333333333
2020-06-02,84.0507926807393,49.9682743597232,141.380422693864,0.0936199,0.0574124,0.1490509,0.0161081,0.0056162,0.0453073,1,1,1,8.684,21.7925925925926,10.98
2020-06-03,93.1719077046563,55.8430047708605,155.453747894576,0.0435035,0.0278216,0.0674117,0.0138082,0.0043841,0.0426235,1,1,1,3.836,21.3314814814815,9.67333333333333
2020-06-08,97.3939786380002,57.7066898790613,164.375865169509,0.0396604,0.0256986,0.0607348,0.0063917,0.0012542,0.0319013,,,,5.66,17.5685185185185,7.86
