Phi,p,pent,N,model,npar,AICc,DeltaAICc,weight,Deviance
~1,~time,~time,~1,Phi(~1)p(~time)pent(~time)N(~1),25,1847.62760750853,0,0.501304262153507,-10003.832
~time,~temp + wind + sundur,~1,~1,Phi(~time)p(~temp + wind + sundur)pent(~1)N(~1),17,1849.52870408163,1.90109657310018,0.193768653530282,-9985.636
~time,~temp + wind + sundur,~time,~1,Phi(~time)p(~temp + wind + sundur)pent(~time)N(~1),27,1851.64570204953,4.01809454099771,0.0672331181630553,-10003.905
~time,~temp + sundur,~time,~1,Phi(~time)p(~temp + sundur)pent(~time)N(~1),26,1852.27473175416,4.6471242456289,0.0490897916404011,-10001.229
~time,~sundur + wind,~time,~1,Phi(~time)p(~sundur + wind)pent(~time)N(~1),26,1852.41013175416,4.78252424562879,0.0458764128453919,-10001.094
~time,~temp,~time,~1,Phi(~time)p(~temp)pent(~time)N(~1),25,1852.91710750853,5.28949999999986,0.0356041863994617,-9998.542
~time,~sundur,~time,~1,Phi(~time)p(~sundur)pent(~time)N(~1),25,1853.27510750853,5.64749999999981,0.0297688702918224,-9998.184
~time,~temp + wind,~time,~1,Phi(~time)p(~temp + wind)pent(~time)N(~1),26,1853.30073175416,5.67312424562874,0.0293899007557043,-10000.203
~time,~1,~time,~1,Phi(~time)p(~1)pent(~time)N(~1),24,1853.89422707889,6.26661957035867,0.0218435010224505,-9995.522
~time,~wind,~time,~1,Phi(~time)p(~wind)pent(~time)N(~1),25,1854.54200750853,6.91439999999989,0.0158000519252328,-9996.9172
~time,~temp,~1,~1,Phi(~time)p(~temp)pent(~1)N(~1),15,1856.35100824129,8.72340073275882,0.00639497713807183,-9974.7575
~time,~temp + wind,~1,~1,Phi(~time)p(~temp + wind)pent(~1)N(~1),16,1858.31909422014,10.691486711612,0.00239042188342868,-9974.8167
~time,~time,~time,~1,Phi(~time)p(~time)pent(~time)N(~1),35,1859.23459151671,11.6069840081771,0.00151243543490573,-10012.75
~time,~temp + sundur,~1,~1,Phi(~time)p(~temp + sundur)pent(~1)N(~1),16,1868.23309422014,20.605486711612,1.68142232392388e-05,-9964.9026
~1,~sundur + wind,~time,~1,Phi(~1)p(~sundur + wind)pent(~time)N(~1),16,1872.37279422014,24.745186711612,2.12203418446241e-06,-9960.763
~1,~temp + wind + sundur,~time,~1,Phi(~1)p(~temp + wind + sundur)pent(~time)N(~1),17,1872.39130408163,24.7636965731003,2.10248550541835e-06,-9962.7735
~1,~temp + sundur,~time,~1,Phi(~1)p(~temp + sundur)pent(~time)N(~1),16,1873.56259422014,25.9349867116121,1.17055166895561e-06,-9959.5732
~1,~sundur,~time,~1,Phi(~1)p(~sundur)pent(~time)N(~1),15,1873.58140824129,25.953800732759,1.15959190714725e-06,-9957.5271
~1,~1,~time,~1,Phi(~1)p(~1)pent(~time)N(~1),14,1882.36024394904,34.7326364405121,1.43881588200728e-08,-9946.7226
~1,~temp,~time,~1,Phi(~1)p(~temp)pent(~time)N(~1),15,1882.57860824129,34.951000732759,1.28999497759055e-08,-9948.5299
~time,~sundur + wind,~1,~1,Phi(~time)p(~sundur + wind)pent(~1)N(~1),16,1883.47309422014,35.845486711612,8.24807985651809e-09,-9949.6626
~1,~wind,~time,~1,Phi(~1)p(~wind)pent(~time)N(~1),15,1884.34870824129,36.7211007327589,5.32372591415373e-09,-9946.7598
~1,~temp + wind,~time,~1,Phi(~1)p(~temp + wind)pent(~time)N(~1),16,1884.59849422014,36.9708867116119,4.69867441039151e-09,-9948.5372
~time,~time,~1,~1,Phi(~time)p(~time)pent(~1)N(~1),25,1886.24780750853,38.6201999999998,2.05983067824987e-09,-9965.2114
~time,~sundur,~1,~1,Phi(~time)p(~sundur)pent(~1)N(~1),15,1890.37170824129,42.7441007327589,2.62022059557629e-10,-9940.7368
~1,~time,~1,~1,Phi(~1)p(~time)pent(~1)N(~1),15,1893.71380824129,46.0862007327589,4.92731198971343e-11,-9937.3947
~time,~wind,~1,~1,Phi(~time)p(~wind)pent(~1)N(~1),15,1907.27020824129,59.6426007327589,5.60886781124532e-14,-9923.8383
~time,~1,~1,~1,Phi(~time)p(~1)pent(~1)N(~1),14,1910.78234394904,63.1547364405121,9.68778798873568e-15,-9918.3006
~1,~temp + wind + sundur,~1,~1,Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),7,1975.48611744285,127.858509934312,0,-9839.4659
~1,~temp + sundur,~1,~1,Phi(~1)p(~temp + sundur)pent(~1)N(~1),6,2000.71354803216,153.08594052363,0,-9812.2265
~1,~temp + wind,~1,~1,Phi(~1)p(~temp + wind)pent(~1)N(~1),6,2013.82564803216,166.19804052363,0,-9799.1145
~1,~temp,~1,~1,Phi(~1)p(~temp)pent(~1)N(~1),5,2031.80968071066,184.182073202127,0,-9779.1202
~1,~sundur + wind,~1,~1,Phi(~1)p(~sundur + wind)pent(~1)N(~1),6,2090.19574803216,242.56814052363,0,-9722.7444
~1,~sundur,~1,~1,Phi(~1)p(~sundur)pent(~1)N(~1),5,2103.91518071066,256.287573202128,0,-9707.0148
~1,~wind,~1,~1,Phi(~1)p(~wind)pent(~1)N(~1),5,2109.09818071066,261.470573202128,0,-9701.8318
~1,~1,~1,~1,Phi(~1)p(~1)pent(~1)N(~1),4,2121.39901331924,273.771405810706,0,-9687.5225
