Phi,p,pent,N,model,npar,AICc,DeltaAICc,weight,Deviance
~Time + I(Time^2),~Time + I(Time^2),~1,~1,Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~1)N(~1),8,472.909776551724,0,0.714397132083203,-3016.0718
~Time + I(Time^2),~Time + I(Time^2),~Time,~1,Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time)N(~1),9,474.806282805755,1.89650625403124,0.27676973754757,-3016.2274
~1,~temp + wind + sundur,~Time + I(Time^2),~1,Phi(~1)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),9,483.040832805755,10.1310562540313,0.00450825827937337,-3007.9928
~Time,~temp + wind + sundur,~Time + I(Time^2),~1,Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),10,484.920042881844,12.0102663301203,0.00176174685849936,-3008.1716
~Time + I(Time^2),~temp + wind + sundur,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),11,486.606632380952,13.6968558292283,0.000758062911940307,-3008.549
~1,~temp + sundur,~Time + I(Time^2),~1,Phi(~1)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),8,487.584676551724,14.6749,0.000464863723129269,-3001.3969
~Time + I(Time^2),~temp + sundur,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),10,489.326262881844,16.4164863301202,0.000194600965078894,-3003.7654
~Time,~temp + sundur,~Time + I(Time^2),~1,Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),9,489.618372805755,16.7085962540313,0.000168156680546106,-3001.4153
~Time + I(Time^2),~sundur,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~sundur)pent(~Time + I(Time^2))N(~1),9,489.824422805755,16.9146462540313,0.00015169488487223,-3001.2092
~1,~temp + wind,~Time + I(Time^2),~1,Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),8,489.877846551724,16.96807,0.000147696470685358,-2999.1037
~1,~sundur + wind,~Time + I(Time^2),~1,Phi(~1)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),8,490.205326551724,17.29555,0.00012538879800377,-2998.7762
~Time + I(Time^2),~Time + I(Time^2),~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),10,490.705742881844,17.7959663301202,9.76325682687873e-05,-3002.3859
~1,~sundur,~Time + I(Time^2),~1,Phi(~1)p(~sundur)pent(~Time + I(Time^2))N(~1),7,491.31438866571,18.4046121139861,7.20159942784396e-05,-2995.621
~Time,~temp + wind,~Time + I(Time^2),~1,Phi(~Time)p(~temp + wind)pent(~Time + I(Time^2))N(~1),9,491.410512805755,18.5007362540313,6.86366169481767e-05,-2999.6231
~Time,~sundur + wind,~Time + I(Time^2),~1,Phi(~Time)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),9,491.746012805755,18.8362362540312,5.80367347071041e-05,-2999.2876
~1,~Time + I(Time^2),~Time + I(Time^2),~1,Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),8,492.980466551724,20.07069,3.13072372885711e-05,-2996.0011
~1,~Time + I(Time^2),~1,~1,Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),6,493.036973839542,20.1271972878174,3.04350726861886e-05,-2991.858
~Time,~sundur,~Time + I(Time^2),~1,Phi(~Time)p(~sundur)pent(~Time + I(Time^2))N(~1),8,493.114416551724,20.20464,2.92791100479855e-05,-2995.8671
~1,~temp,~Time + I(Time^2),~1,Phi(~1)p(~temp)pent(~Time + I(Time^2))N(~1),7,493.22664866571,20.3168721139861,2.76813316158704e-05,-2993.7087
~Time + I(Time^2),~sundur + wind,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time + I(Time^2))N(~1),10,493.268092881844,20.3583163301203,2.71136184918347e-05,-2999.8236
~Time + I(Time^2),~temp + wind,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time + I(Time^2))N(~1),10,493.462212881844,20.5524363301203,2.46056509269241e-05,-2999.6294
~1,~Time + I(Time^2),~Time,~1,Phi(~1)p(~Time + I(Time^2))pent(~Time)N(~1),7,494.59033866571,21.6805621139861,1.39979828501478e-05,-2992.345
~Time,~temp,~Time + I(Time^2),~1,Phi(~Time)p(~temp)pent(~Time + I(Time^2))N(~1),8,494.676046551724,21.76627,1.34107858061316e-05,-2994.3055
~Time,~temp + wind + sundur,~Time,~1,Phi(~Time)p(~temp + wind + sundur)pent(~Time)N(~1),9,495.871232805755,22.9614562540313,7.37773120889985e-06,-2995.1624
~Time + I(Time^2),~temp,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~temp)pent(~Time + I(Time^2))N(~1),9,495.927002805755,23.0172262540312,7.17484506066086e-06,-2995.1066
~Time + I(Time^2),~Time,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),9,496.420872805755,23.5110962540313,5.60492775512868e-06,-2994.6128
~1,~wind,~Time + I(Time^2),~1,Phi(~1)p(~wind)pent(~Time + I(Time^2))N(~1),7,496.47585866571,23.5660821139861,5.45293086271386e-06,-2990.4595
~Time + I(Time^2),~1,~Time + I(Time^2),~1,Phi(~Time + I(Time^2))p(~1)pent(~Time + I(Time^2))N(~1),8,496.557776551724,23.648,5.2340967774877e-06,-2992.4238
~Time + I(Time^2),~temp + wind + sundur,~Time,~1,Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),10,496.666132881844,23.7563563301202,4.95806790236747e-06,-2996.4255
~1,~1,~Time + I(Time^2),~1,Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),6,497.093863839542,24.1840872878174,4.00342662314685e-06,-2987.8011
~Time,~Time + I(Time^2),~Time,~1,Phi(~Time)p(~Time + I(Time^2))pent(~Time)N(~1),8,497.412516551724,24.50274,3.41379403864692e-06,-2991.569
~Time,~Time + I(Time^2),~Time + I(Time^2),~1,Phi(~Time)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),9,498.116272805755,25.2064962540313,2.40114610491202e-06,-2992.9174
~Time,~wind,~Time + I(Time^2),~1,Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),8,498.488176551724,25.5784,1.99370415732445e-06,-2990.4934
~Time + I(Time^2),~temp + wind,~Time,~1,Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time)N(~1),9,498.497472805755,25.5876962540312,1.98445867091299e-06,-2992.5362
