Phi,p,pent,N,model,npar,AICc,DeltaAICc,weight,Deviance
~1,~time,~1,~1,Phi(~1)p(~time)pent(~1)N(~1),15,1428.0321,0,0.996925302421631,-6450.983
~time,~temp + sundur,~1,~1,Phi(~time)p(~temp + sundur)pent(~1)N(~1),16,1440.7930126329,12.7609126328957,0.00168914000791804,-6440.2623
~time,~temp + wind + sundur,~1,~1,Phi(~time)p(~temp + wind + sundur)pent(~1)N(~1),17,1441.2253787234,13.1932787234043,0.00136075063244311,-6441.8727
~time,~temp,~1,~1,Phi(~time)p(~temp)pent(~1)N(~1),15,1450.5231,22.491,1.30257885072504e-05,-6428.4921
~time,~temp + wind,~1,~1,Phi(~time)p(~temp + wind)pent(~1)N(~1),16,1452.1904126329,24.1583126328958,5.65915624252612e-06,-6428.8649
~time,~temp + wind + sundur,~time,~1,Phi(~time)p(~temp + wind + sundur)pent(~time)N(~1),27,1453.54074105793,25.5086410579347,2.88092261369745e-06,-6450.1265
~time,~temp,~time,~1,Phi(~time)p(~temp)pent(~time)N(~1),25,1455.13601006289,27.1039100628932,1.29754769215919e-06,-6444.3968
~time,~sundur,~time,~1,Phi(~time)p(~sundur)pent(~time)N(~1),25,1455.89531006289,27.8632100628931,8.87653417613988e-07,-6443.6374
~time,~temp + wind,~time,~1,Phi(~time)p(~temp + wind)pent(~time)N(~1),26,1456.4325745752,28.4004745752045,6.7854385687327e-07,-6445.1662
~time,~1,~time,~1,Phi(~time)p(~1)pent(~time)N(~1),24,1458.83704261471,30.8049426147077,2.03917417441373e-07,-6438.6324
~time,~wind,~time,~1,Phi(~time)p(~wind)pent(~time)N(~1),25,1461.32731006289,33.2952100628932,5.87083151206362e-08,-6438.2054
~time,~sundur + wind,~time,~1,Phi(~time)p(~sundur + wind)pent(~time)N(~1),26,1461.6304745752,33.5983745752046,5.04508257911239e-08,-6439.9682
~time,~temp + sundur,~time,~1,Phi(~time)p(~temp + sundur)pent(~time)N(~1),26,1462.5436745752,34.5115745752046,3.19572513751823e-08,-6439.0551
~time,~sundur + wind,~1,~1,Phi(~time)p(~sundur + wind)pent(~1)N(~1),16,1462.7334126329,34.7013126328957,2.9064865870355e-08,-6418.3219
~1,~temp + sundur,~time,~1,Phi(~1)p(~temp + sundur)pent(~time)N(~1),16,1468.8062126329,40.7741126328956,1.39532879986139e-09,-6412.2491
~1,~temp + wind + sundur,~time,~1,Phi(~1)p(~temp + wind + sundur)pent(~time)N(~1),17,1469.9722787234,41.9401787234044,7.7887636240111e-10,-6413.1258
~time,~sundur,~1,~1,Phi(~time)p(~sundur)pent(~1)N(~1),15,1470.7937,42.7616,5.165342932243e-10,-6408.2214
~1,~sundur,~time,~1,Phi(~1)p(~sundur)pent(~time)N(~1),15,1471.2947,43.2626,4.02076223666585e-10,-6407.7204
~1,~sundur + wind,~time,~1,Phi(~1)p(~sundur + wind)pent(~time)N(~1),16,1473.6574126329,45.6253126328957,1.23382016234039e-10,-6407.398
~1,~temp,~time,~1,Phi(~1)p(~temp)pent(~time)N(~1),15,1480.3876,52.3555000000001,4.26393175476742e-12,-6398.6275
~1,~1,~time,~1,Phi(~1)p(~1)pent(~time)N(~1),14,1481.49783603998,53.4657360399751,2.44751607118444e-12,-6395.4796
~1,~temp + wind,~time,~1,Phi(~1)p(~temp + wind)pent(~time)N(~1),16,1482.3631126329,54.3310126328956,1.58793648521365e-12,-6398.6922
~time,~wind,~1,~1,Phi(~time)p(~wind)pent(~1)N(~1),15,1482.643,54.6109000000001,1.38056340694848e-12,-6396.3721
~1,~wind,~time,~1,Phi(~1)p(~wind)pent(~time)N(~1),15,1483.1823,55.1502,1.05426272288329e-12,-6395.8328
~time,~1,~1,~1,Phi(~time)p(~1)pent(~1)N(~1),14,1488.58673603998,60.5546360399751,7.06952892638048e-14,-6388.3908
~1,~temp + wind + sundur,~1,~1,Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),7,1514.32985174129,86.2977517412935,0,-6348.455
~1,~temp + sundur,~1,~1,Phi(~1)p(~temp + sundur)pent(~1)N(~1),6,1522.75850633934,94.7264063393413,0,-6338.0088
~1,~temp + wind,~1,~1,Phi(~1)p(~temp + wind)pent(~1)N(~1),6,1547.13420633934,119.102106339341,0,-6313.6331
~1,~temp,~1,~1,Phi(~1)p(~temp)pent(~1)N(~1),5,1551.14556708075,123.113467080746,0,-6307.6069
~1,~sundur + wind,~1,~1,Phi(~1)p(~sundur + wind)pent(~1)N(~1),6,1593.06280633934,165.030706339341,0,-6267.7045
~1,~sundur,~1,~1,Phi(~1)p(~sundur)pent(~1)N(~1),5,1596.58816708075,168.556067080745,0,-6262.1642
~1,~wind,~1,~1,Phi(~1)p(~wind)pent(~1)N(~1),5,1608.33086708075,180.298767080745,0,-6250.4215
~1,~1,~1,~1,Phi(~1)p(~1)pent(~1)N(~1),4,1610.94412929857,182.912029298572,0,-6245.7958
~time,~time,~1,~1,Phi(~time)p(~time)pent(~1)N(~1),25,2358.61121006289,930.579110062893,0,-5540.9215
