Phi,p,pent,N,model,npar,AICc,DeltaAICc,weight,Deviance
~1,~1,~1,~1,Phi(~1)p(~1)pent(~1)N(~1),4,87.0465984814815,0,0.333027027027979,-41.443963
~1,~temp,~1,~1,Phi(~1)p(~temp)pent(~1)N(~1),5,87.1192323076923,0.0726338262108186,0.321149496476998,-44.19754
~1,~sundur,~1,~1,Phi(~1)p(~sundur)pent(~1)N(~1),5,89.8676993076923,2.82110082621082,0.0812615720116961,-41.449073
~1,~wind,~1,~1,Phi(~1)p(~wind)pent(~1)N(~1),5,89.8705273076923,2.82392882621083,0.081146749347626,-41.446245
~1,~temp + wind,~1,~1,Phi(~1)p(~temp + wind)pent(~1)N(~1),6,89.940761,2.89416251851851,0.0783465856497084,-44.428319
~1,~temp + sundur,~1,~1,Phi(~1)p(~temp + sundur)pent(~1)N(~1),6,90.135484,3.08888551851852,0.0710782149468338,-44.233596
~1,~sundur + wind,~1,~1,Phi(~1)p(~sundur + wind)pent(~1)N(~1),6,92.917738,5.87113951851852,0.0176838870652064,-41.451341
~1,~temp + wind + sundur,~1,~1,Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),7,93.1592996666667,6.11270118518519,0.015671958871998,-44.516446
~1,~1,~time,~1,Phi(~1)p(~1)pent(~time)N(~1),11,100.514298,13.4676995185185,0.000396283224365628,-53.694782
~time,~1,~1,~1,Phi(~time)p(~1)pent(~1)N(~1),11,104.21149,17.1648915185185,6.23979965728744e-05,-49.997589
~1,~time,~1,~1,Phi(~1)p(~time)pent(~1)N(~1),12,104.703725631579,17.6571271500975,4.87846323725847e-05,-54.726407
~1,~sundur,~time,~1,Phi(~1)p(~sundur)pent(~time)N(~1),12,105.325859631579,18.2792611500975,3.57427822219417e-05,-54.104273
~1,~temp,~time,~1,Phi(~1)p(~temp)pent(~time)N(~1),12,105.691611631579,18.6450131500975,2.97691419766282e-05,-53.738521
~1,~wind,~time,~1,Phi(~1)p(~wind)pent(~time)N(~1),12,105.735342631579,18.6887441500975,2.91252895325018e-05,-53.69479
~time,~wind,~1,~1,Phi(~time)p(~wind)pent(~1)N(~1),12,107.289354631579,20.2427561500975,1.33912412189843e-05,-52.140778
~time,~temp,~1,~1,Phi(~time)p(~temp)pent(~1)N(~1),12,108.779059631579,21.7324611500975,6.35821929360472e-06,-50.651073
~time,~sundur,~1,~1,Phi(~time)p(~sundur)pent(~1)N(~1),12,109.432117631579,22.3855191500975,4.58696852068074e-06,-49.998015
~1,~sundur + wind,~time,~1,Phi(~1)p(~sundur + wind)pent(~time)N(~1),13,111.094051222222,24.0474527407407,1.99821155408167e-06,-54.137251
~1,~temp + sundur,~time,~1,Phi(~1)p(~temp + sundur)pent(~time)N(~1),13,111.111128222222,24.0645297407407,1.98122245863996e-06,-54.120174
~1,~temp + wind,~time,~1,Phi(~1)p(~temp + wind)pent(~time)N(~1),13,111.490490222222,24.4438917407408,1.63891273832972e-06,-53.740812
~time,~temp + wind,~1,~1,Phi(~time)p(~temp + wind)pent(~1)N(~1),13,112.177180222222,25.1305817407408,1.16263392662765e-06,-53.054122
~time,~sundur + wind,~1,~1,Phi(~time)p(~sundur + wind)pent(~1)N(~1),13,112.939876222222,25.8932777407407,7.94009429028247e-07,-52.291426
~time,~temp + sundur,~1,~1,Phi(~time)p(~temp + sundur)pent(~1)N(~1),13,114.492981222222,27.4463827407407,3.6523567732943e-07,-50.738321
~1,~temp + wind + sundur,~time,~1,Phi(~1)p(~temp + wind + sundur)pent(~time)N(~1),14,117.564502352941,30.5179038714597,7.86322775638423e-08,-54.15046
~time,~temp + wind + sundur,~1,~1,Phi(~time)p(~temp + wind + sundur)pent(~1)N(~1),14,118.460133352941,31.4135348714597,5.02478003156237e-08,-53.254829
~time,~1,~time,~1,Phi(~time)p(~1)pent(~time)N(~1),18,148.350459615385,61.3038611339031,1.62373508740789e-14,-59.274005
~time,~wind,~time,~1,Phi(~time)p(~wind)pent(~time)N(~1),19,159.573364333333,72.5267658518519,0,-60.769049
~time,~temp,~time,~1,Phi(~time)p(~temp)pent(~time)N(~1),19,160.822234333333,73.7756358518519,0,-59.520179
~time,~sundur,~time,~1,Phi(~time)p(~sundur)pent(~time)N(~1),19,160.869298333333,73.8226998518519,0,-59.473115
~time,~time,~1,~1,Phi(~time)p(~time)pent(~1)N(~1),19,160.910559333333,73.8639608518519,0,-59.431854
~1,~time,~time,~1,Phi(~1)p(~time)pent(~time)N(~1),19,161.266954333333,74.2203558518519,0,-59.075459
~time,~temp + wind,~time,~1,Phi(~time)p(~temp + wind)pent(~time)N(~1),20,172.518354363636,85.4717558821549,0,-62.854361
~time,~sundur + wind,~time,~1,Phi(~time)p(~sundur + wind)pent(~time)N(~1),20,174.581913363636,87.5353148821549,0,-60.790803
~time,~temp + sundur,~time,~1,Phi(~time)p(~temp + sundur)pent(~time)N(~1),20,175.383456363636,88.3368578821549,0,-59.98926
~time,~temp + wind + sundur,~time,~1,Phi(~time)p(~temp + wind + sundur)pent(~time)N(~1),21,190.55124,103.504641518519,0,-62.85784
~time,~time,~time,~1,Phi(~time)p(~time)pent(~time)N(~1),26,386.937527,299.890928518519,0,-64.871553
