Phi,p,pent,N,model,npar,AICc,DeltaAICc,weight,Deviance
~1,~time,~1,~1,Phi(~1)p(~time)pent(~1)N(~1),14,216.806024159292,0,0.683487032586797,-353.81676
~1,~sundur,~time,~1,Phi(~1)p(~sundur)pent(~time)N(~1),14,220.410184159292,3.60415999999998,0.112744893163752,-350.21261
~1,~1,~time,~1,Phi(~1)p(~1)pent(~time)N(~1),13,221.82837245614,5.02234829684832,0.0554806069566465,-346.27058
~1,~temp + sundur,~time,~1,Phi(~1)p(~temp + sundur)pent(~time)N(~1),15,222.639644285714,5.83362012642223,0.03698075420514,-350.55205
~1,~sundur + wind,~time,~1,Phi(~1)p(~sundur + wind)pent(~time)N(~1),15,222.853384285714,6.04736012642223,0.0332324770010703,-350.3383
~1,~temp,~time,~1,Phi(~1)p(~temp)pent(~time)N(~1),14,223.368534159292,6.56251,0.0256861692075512,-347.25425
~1,~wind,~time,~1,Phi(~1)p(~wind)pent(~time)N(~1),14,224.349534159292,7.54351,0.0157281591760973,-346.27326
~time,~time,~1,~1,Phi(~time)p(~time)pent(~1)N(~1),23,224.745724615385,7.93970045609257,0.0129016789732404,-370.77564
~1,~temp + wind + sundur,~time,~1,Phi(~1)p(~temp + wind + sundur)pent(~time)N(~1),16,225.219030900901,8.41300674160885,0.0101828436912858,-350.58784
~1,~temp + wind,~time,~1,Phi(~1)p(~temp + wind)pent(~time)N(~1),15,225.902064285714,9.09604012642225,0.00723686151998386,-347.28962
~time,~temp + wind + sundur,~1,~1,Phi(~time)p(~temp + wind + sundur)pent(~1)N(~1),16,227.411270900901,10.6052467416089,0.00340275130963246,-348.39561
~time,~temp + sundur,~1,~1,Phi(~time)p(~temp + sundur)pent(~1)N(~1),15,228.744014285714,11.9379901264223,0.00174754617929751,-344.44767
~time,~temp,~1,~1,Phi(~time)p(~temp)pent(~1)N(~1),14,231.841584159292,15.03556,0.000371364092545344,-338.78121
~time,~1,~time,~1,Phi(~time)p(~1)pent(~time)N(~1),22,232.218695238095,15.4126710788032,0.000307546846962901,-360.32538
~time,~temp + wind,~1,~1,Phi(~time)p(~temp + wind)pent(~1)N(~1),15,233.908234285714,17.1022101264223,0.000132139462598071,-339.28345
~time,~sundur + wind,~1,~1,Phi(~time)p(~sundur + wind)pent(~1)N(~1),15,234.079614285714,17.2735901264223,0.00012128800204987,-339.11207
~time,~temp,~time,~1,Phi(~time)p(~temp)pent(~time)N(~1),23,235.136034615385,18.3300104560926,7.15186128100822e-05,-360.38532
~time,~sundur,~time,~1,Phi(~time)p(~sundur)pent(~time)N(~1),23,235.418174615385,18.6121504560926,6.21088030446171e-05,-360.10318
~time,~temp + wind,~time,~1,Phi(~time)p(~temp + wind)pent(~time)N(~1),24,236.413285436893,19.6072612776012,3.77630957979323e-05,-362.14318
~time,~sundur + wind,~time,~1,Phi(~time)p(~sundur + wind)pent(~time)N(~1),24,236.510165436893,19.7041412776012,3.59774489489884e-05,-362.04629
~time,~temp + sundur,~time,~1,Phi(~time)p(~temp + sundur)pent(~time)N(~1),24,238.941085436893,22.1350612776012,1.06699600812253e-05,-359.61538
~time,~temp + wind + sundur,~time,~1,Phi(~time)p(~temp + wind + sundur)pent(~time)N(~1),25,239.441308039216,22.6352838799237,8.30884843065329e-06,-362.20976
~1,~time,~time,~1,Phi(~1)p(~time)pent(~time)N(~1),23,239.699184615385,22.8931604560926,7.30371216636959e-06,-355.82217
~time,~wind,~time,~1,Phi(~time)p(~wind)pent(~time)N(~1),23,239.981134615385,23.1751104560926,6.3433545340893e-06,-355.54023
~time,~wind,~1,~1,Phi(~time)p(~wind)pent(~1)N(~1),14,240.195154159292,23.38913,5.69961120514968e-06,-330.42763
~time,~sundur,~1,~1,Phi(~time)p(~sundur)pent(~1)N(~1),14,240.268484159292,23.46246,5.49441962147281e-06,-330.35431
~1,~temp + wind + sundur,~1,~1,Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),7,242.640473333333,25.8344491740413,1.67822783387724e-06,-311.19883
~1,~temp + sundur,~1,~1,Phi(~1)p(~temp + sundur)pent(~1)N(~1),6,243.056294876033,26.250270716741,1.36319008606568e-06,-308.5439
~time,~1,~1,~1,Phi(~time)p(~1)pent(~1)N(~1),13,243.76251245614,26.9564882968483,9.57642077107575e-07,-324.33645
~1,~temp,~1,~1,Phi(~1)p(~temp)pent(~1)N(~1),5,245.674653278689,28.8686291193965,3.68118052725626e-07,-303.72312
~1,~temp + wind,~1,~1,Phi(~1)p(~temp + wind)pent(~1)N(~1),6,246.491324876033,29.685300716741,2.44708543373515e-07,-305.10886
~time,~time,~time,~1,Phi(~time)p(~time)pent(~time)N(~1),32,249.342748947368,32.5367247880764,5.88125841307299e-08,-375.79481
~1,~sundur,~1,~1,Phi(~1)p(~sundur)pent(~1)N(~1),5,252.954233278689,36.1482091193965,9.66599138520304e-09,-296.44354
~1,~1,~1,~1,Phi(~1)p(~1)pent(~1)N(~1),4,253.042463252033,36.2364390927405,9.24884515390031e-09,-294.18871
~1,~sundur + wind,~1,~1,Phi(~1)p(~sundur + wind)pent(~1)N(~1),6,254.112534876033,37.306510716741,5.41657059424297e-09,-297.48765
~1,~wind,~1,~1,Phi(~1)p(~wind)pent(~1)N(~1),5,254.384403278689,37.5783791193965,4.72812483064124e-09,-295.01338
