model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.86 [0.823-0.897],0.03 [0.022-0.037],0.05 [0.028-0.08],19579 [16861-22801],10,1871.07005985587,0,0.556090824125031,-9949.9278,201 [173-233]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.87 [0.806-0.908],0.03 [0.023-0.038],0.04 [0.026-0.086],19341 [16584-22627],11,1872.71895928753,1.64889943166077,0.243832598428183,-9950.2976,175 [147-209]
Phi(~Time)p(~temp + wind + sundur)pent(~Time)N(~1),0.87 [0.825-0.898],0.03 [0.021-0.034],0.04 [0.028-0.067],19446 [16732-22666],9,1874.65017118644,3.58011133056971,0.0928398502456494,-9944.3306,180 [151-215]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),0.86 [0.806-0.899],0.03 [0.021-0.035],0.04 [0.028-0.068],19768 [16958-23113],10,1875.68995985587,4.61990000000014,0.0552010311660396,-9945.3079,194 [167-226]
Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.86 [0.822-0.894],0.03 [0.023-0.037],0.05 [0.03-0.077],19397 [16722-22565],9,1877.63507118644,6.56501133056963,0.0208723636045443,-9941.3458,187 [159-220]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.86 [0.804-0.903],0.03 [0.022-0.037],0.05 [0.028-0.083],19545 [16783-22831],10,1879.45175985587,8.38170000000014,0.00841555377579484,-9941.5461,187 [159-220]
Phi(~Time)p(~temp + wind + sundur)pent(~1)N(~1),0.87 [0.832-0.902],0.02 [0.018-0.029],0.03 [0.014-0.048],18894 [16135-22199],8,1880.43969110546,9.36963124959266,0.00513518571307738,-9936.5259,197 [170-230]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time)N(~1),0.85 [0.804-0.895],0.03 [0.021-0.034],0.04 [0.029-0.069],19844 [17028-23196],9,1880.89897118644,9.82891133056955,0.00408154653123778,-9938.0819,189 [161-221]
Phi(~Time)p(~temp)pent(~Time + I(Time^2))N(~1),0.87 [0.852-0.891],0.03 [0.021-0.031],0.03 [0.017-0.04],19357 [16674-22538],8,1881.13019110546,10.0601312495926,0.00363593394372025,-9935.8354,188 [161-221]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~1)N(~1),0.87 [0.814-0.909],0.02 [0.018-0.029],0.03 [0.014-0.048],19032 [16195-22445],9,1882.30497118644,11.2349113305695,0.00202076462772926,-9936.6759,212 [182-247]
