model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,weightcum,ind_per_ha
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~1)N(~1),0.91 [0.703-0.948],0.02 [0.013-0.041],0.05 [0.028-0.099],11240 [6815-18852],8,472.909776551724,0,0.714397132083203,-3016.0718,0.714397132083203,54 [39-77]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time)N(~1),0.9 [0.712-0.948],0.02 [0.012-0.041],0.05 [0.021-0.134],11392 [6721-19668],9,474.806282805755,1.89650625403124,0.27676973754757,-3016.2274,0.991166869630774,64 [47-89]
Phi(~1)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.82 [0.752-0.872],0.03 [0.019-0.052],0.08 [0.062-0.108],7889 [5683-11067],9,483.040832805755,10.1310562540313,0.00450825827937337,-3007.9928,0.995675127910147,66 [48-91]
Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.696-0.89],0.03 [0.02-0.054],0.08 [0.059-0.117],7929 [5695-11157],10,484.920042881844,12.0102663301203,0.00176174685849936,-3008.1716,0.997436874768647,52 [37-74]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.82 [0.665-0.903],0.03 [0.02-0.055],0.08 [0.057-0.122],7736 [5538-10927],11,486.606632380952,13.6968558292283,0.000758062911940307,-3008.549,0.998194937680587,66 [48-91]
Phi(~1)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.744-0.86],0.03 [0.022-0.055],0.08 [0.065-0.105],7645 [5507-10728],8,487.584676551724,14.6749,0.000464863723129269,-3001.3969,0.998659801403716,66 [48-92]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.72 [0.58-0.845],0.03 [0.017-0.05],0.08 [0.054-0.15],8882 [6262-12730],10,489.326262881844,16.4164863301202,0.000194600965078894,-3003.7654,0.998854402368795,52 [37-74]
Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.695-0.881],0.04 [0.021-0.057],0.08 [0.062-0.111],7642 [5502-10729],9,489.618372805755,16.7085962540313,0.000168156680546106,-3001.4153,0.999022559049341,65 [47-90]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time + I(Time^2))N(~1),0.71 [0.58-0.829],0.03 [0.015-0.047],0.08 [0.049-0.212],9202 [6525-13104],9,489.824422805755,16.9146462540313,0.00015169488487223,-3001.2092,0.999174253934213,65 [47-91]
Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.81 [0.746-0.859],0.03 [0.021-0.053],0.08 [0.063-0.102],7789 [5611-10929],8,489.877846551724,16.96807,0.000147696470685358,-2999.1037,0.999321950404899,59 [41-85]
Phi(~1)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.8 [0.731-0.849],0.04 [0.023-0.06],0.08 [0.068-0.105],7510 [5396-10570],8,490.205326551724,17.29555,0.00012538879800377,-2998.7762,0.999447339202902,62 [45-87]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.65 [0.535-0.767],0.11 [0.033-0.245],0.09 [0.057-0.153],5831 [4157-8307],10,490.705742881844,17.7959663301202,9.76325682687873e-05,-3002.3859,0.999544971771171,64 [46-89]
Phi(~1)p(~sundur)pent(~Time + I(Time^2))N(~1),0.79 [0.729-0.845],0.04 [0.024-0.061],0.08 [0.068-0.104],7409 [5328-10421],7,491.31438866571,18.4046121139861,7.20159942784396e-05,-2995.621,0.99961698776545,54 [38-77]
Phi(~Time)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.82 [0.714-0.891],0.03 [0.018-0.052],0.08 [0.059-0.108],7825 [5651-10946],9,491.410512805755,18.5007362540313,6.86366169481767e-05,-2999.6231,0.999685624382398,64 [47-89]
Phi(~Time)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.79 [0.666-0.869],0.04 [0.024-0.062],0.08 [0.063-0.116],7552 [5409-10666],9,491.746012805755,18.8362362540312,5.80367347071041e-05,-2999.2876,0.999743661117105,65 [47-90]
Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),0.82 [0.715-0.894],0.03 [0.012-0.053],0.01 [0.004-0.215],17622 [9309-33936],8,492.980466551724,20.07069,3.13072372885711e-05,-2996.0011,0.999774968354394,56 [40-78]
Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),0.79 [0.701-0.862],0.03 [0.017-0.054],0.03 [0.012-0.069],15656 [7965-31452],6,493.036973839542,20.1271972878174,3.04350726861886e-05,-2991.858,0.99980540342708,63 [46-87]
Phi(~Time)p(~sundur)pent(~Time + I(Time^2))N(~1),0.79 [0.675-0.864],0.04 [0.025-0.063],0.08 [0.065-0.111],7401 [5316-10421],8,493.114416551724,20.20464,2.92791100479855e-05,-2995.8671,0.999834682537128,64 [46-89]
Phi(~1)p(~temp)pent(~Time + I(Time^2))N(~1),0.8 [0.739-0.85],0.04 [0.023-0.056],0.08 [0.066-0.101],7586 [5465-10646],7,493.22664866571,20.3168721139861,2.76813316158704e-05,-2993.7087,0.999862363868744,56 [39-81]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.8 [0.652-0.884],0.04 [0.025-0.062],0.08 [0.063-0.116],7404 [5312-10438],10,493.268092881844,20.3583163301203,2.71136184918347e-05,-2999.8236,0.999889477487235,64 [47-89]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.82 [0.67-0.907],0.03 [0.018-0.053],0.08 [0.054-0.117],7845 [5632-11046],10,493.462212881844,20.5524363301203,2.46056509269241e-05,-2999.6294,0.999914083138162,64 [47-89]
