model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~temp + wind + sundur)pent(~Time)N(~1),50,0.86 [0.819-0.899],0.03 [0.023-0.04],0.03 [0.016-0.072],11342 [9561-13515],9,1450.90877970112,0,0.326341799993598,-6415.9184,115 [97-137]
Phi(~Time)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),80,0.86 [0.814-0.901],0.03 [0.023-0.042],0.03 [0.015-0.113],11423 [9622-13621],10,1452.55387165109,1.64509194996936,0.143365788153068,-6416.2983,115 [97-138]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),51,0.86 [0.797-0.906],0.03 [0.023-0.04],0.03 [0.016-0.078],11479 [9596-13799],10,1452.75267165109,1.84389194996947,0.129800586579619,-6416.0995,116 [97-139]
Phi(~Time)p(~temp + sundur)pent(~Time)N(~1),44,0.87 [0.821-0.9],0.03 [0.022-0.039],0.03 [0.016-0.073],11242 [9474-13401],8,1453.22550796515,2.31672826403155,0.10247113675935,-6411.5793,114 [96-135]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time)N(~1),45,0.86 [0.797-0.902],0.03 [0.022-0.04],0.04 [0.017-0.081],11571 [9681-13897],9,1454.00327970112,3.09449999999993,0.0694561277846202,-6412.824,117 [98-140]
Phi(~Time)p(~temp + wind + sundur)pent(~1)N(~1),20,0.87 [0.822-0.905],0.03 [0.02-0.033],0.01 [0.002-0.066],10830 [9092-12965],8,1454.35670796515,3.44792826403159,0.0582055765019547,-6410.448,109 [92-131]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),81,0.86 [0.789-0.911],0.03 [0.023-0.042],0.03 [0.013-0.131],11479 [9594-13801],11,1454.54868852868,3.63990882755729,0.0528781856668113,-6416.3311,116 [97-139]
Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),74,0.86 [0.815-0.9],0.03 [0.023-0.042],0.04 [0.016-0.091],11332 [9555-13500],9,1454.75537970112,3.84659999999985,0.047686355003647,-6412.0718,114 [97-136]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time + I(Time^2))N(~1),75,0.86 [0.79-0.907],0.03 [0.022-0.041],0.04 [0.014-0.131],11577 [9689-13899],10,1455.95227165109,5.04349194996939,0.0262115282455434,-6412.8999,117 [98-140]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~1)N(~1),21,0.87 [0.804-0.919],0.03 [0.02-0.033],0.01 [0.001-0.069],10729 [8922-12975],9,1456.28087970112,5.37209999999982,0.0222400629162841,-6410.5463,108 [90-131]
