model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~1)p(~Time)pent(~1)N(~1),22,0.83 [0.547-0.949],0.24 [0.075-0.518],0.12 [0.116-0.128],84 [46-194],5,81.6623863076923,0,0.183688915235852,-49.654386,10 [6-24]
Phi(~1)p(~1)pent(~Time)N(~1),31,0.73 [0.548-0.862],0.3 [0.093-0.651],0.12 [0.075-0.185],57 [35-135],5,82.8980933076923,1.23570700000001,0.0990267631781915,-48.418678,7 [4-17]
Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),25,0.83 [0.545-0.954],0.28 [0.069-0.543],0.12 [0.119-0.127],82 [46-181],6,83.177047,1.5146606923077,0.0861347820513089,-51.192033,10 [6-23]
Phi(~Time)p(~1)pent(~1)N(~1),2,0.65 [0.391-0.868],0.25 [0.089-0.538],0.1 [0.077-0.137],66 [40-146],5,84.3708523076923,2.708466,0.047418414685642,-46.94592,8 [5-18]
Phi(~Time)p(~1)pent(~Time)N(~1),32,0.65 [0.372-0.871],0.36 [0.128-0.692],0.12 [0.075-0.185],51 [33-114],6,84.381186,2.7187996923077,0.0471740428914859,-49.987894,6 [4-14]
Phi(~1)p(~Time)pent(~Time)N(~1),52,0.8 [0.519-0.94],0.25 [0.06-0.663],0.12 [0.054-0.281],68 [36-197],6,84.47165,2.8092636923077,0.0450878046279767,-49.89743,8 [4-25]
Phi(~Time)p(~Time)pent(~1)N(~1),23,0.82 [0.286-0.978],0.24 [0.067-0.606],0.12 [0.116-0.129],84 [46-200],6,84.714651,3.0522646923077,0.0399293364290045,-49.654429,10 [6-25]
Phi(~1)p(~1)pent(~Time + I(Time^2))N(~1),61,0.75 [0.552-0.874],0.28 [0.084-0.631],0.12 [0.055-0.234],61 [36-148],6,84.980071,3.31768469230769,0.0349668791193902,-49.389009,8 [4-18]
Phi(~Time)p(~Time + I(Time^2))pent(~1)N(~1),26,0.73 [0.274-0.951],0.28 [0.067-0.594],0.12 [0.119-0.127],84 [46-196],7,85.5900316666667,3.92764535897437,0.0257754108398574,-52.085715,10 [6-24]
Phi(~1)p(~temp)pent(~Time)N(~1),40,0.74 [0.55-0.865],0.29 [0.083-0.649],0.12 [0.071-0.187],59 [36-136],6,85.618628,3.9562416923077,0.02540949193843,-48.750452,7 [4-17]
