model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time)N(~1),0.9 [0.838-0.953],0.09 [0.044-0.163],0.09 [0.059-0.128],475 [315-761],9,201.455223728814,0,0.482366982884631,-356.97617,4 [3-7]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.9 [0.833-0.955],0.09 [0.045-0.171],0.09 [0.044-0.183],503 [324-833],10,202.888111880342,1.43288815152832,0.235629610204766,-357.8982,4 [2-6]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time)N(~1),0.88 [0.771-0.949],0.08 [0.039-0.169],0.08 [0.054-0.135],467 [311-745],10,203.594541880342,2.13931815152833,0.165512401222295,-357.19177,3 [3-3]
Phi(~Time + I(Time^2))p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),0.9 [0.83-0.957],0.09 [0.042-0.181],0.09 [0.042-0.188],498 [321-827],11,205.244252068966,3.78902834015196,0.072543837155566,-357.93758,4 [3-7]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~Time)N(~1),0.89 [0.707-0.938],0.05 [0.026-0.087],0.07 [0.009-0.981],420 [282-670],9,207.836783728814,6.38156000000001,0.0198444664425117,-350.59461,4 [3-7]
Phi(~1)p(~sundur)pent(~Time + I(Time^2))N(~1),0.81 [0.733-0.876],0.1 [0.052-0.182],0.09 [0.055-0.191],519 [338-843],7,211.060663333333,9.60543960451977,0.00395897596596149,-342.77864,4 [2-6]
Phi(~1)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),0.81 [0.728-0.87],0.1 [0.053-0.19],0.09 [0.056-0.181],524 [342-852],8,211.610954033613,10.1557303047999,0.00300669072558173,-344.50511,4 [3-7]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time + I(Time^2))N(~1),0.84 [0.607-0.922],0.09 [0.045-0.185],0.09 [0.05-0.208],502 [329-813],9,212.056663728814,10.60144,0.00240604711494172,-346.37473,4 [3-7]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~1)N(~1),0.9 [0.5-0],0.04 [1-0],0 [0-0],417 [417-417],8,212.599814033613,11.1445903047999,0.0018338361823261,-343.51625,3 [2-6]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time)N(~1),0.85 [0.599-0.929],0.07 [0.037-0.135],0.09 [0.055-0.155],482 [320-771],8,212.659324033613,11.2041003047999,0.00178007419715618,-343.45674,5 [3-7]
